,precision,recall,f1-score,support
Actinic keratosis,0.9698795180722891,0.9415204678362573,0.9554896142433235,171.0
Atopic Dermatitis,1.0,1.0,1.0,171.0
Benign keratosis,1.0,0.9941860465116279,0.9970845481049563,172.0
Dermatofibroma,0.8941798941798942,0.9825581395348837,0.9362880886426593,172.0
Melanocytic nevus,0.9378531073446328,0.9822485207100592,0.9595375722543352,169.0
Melanoma,0.9869281045751634,0.8988095238095238,0.940809968847352,168.0
Squamous cell carcinoma,0.9512195121951219,0.9176470588235294,0.9341317365269461,170.0
Tinea Ringworm Candidiasis,1.0,1.0,1.0,121.0
Vascular lesion,0.9883720930232558,1.0,0.9941520467836257,170.0
accuracy,0.967654986522911,0.967654986522911,0.967654986522911,0.967654986522911
macro avg,0.9698258032655952,0.9685521952473201,0.968610397267022,1484.0
weighted avg,0.9687870680500659,0.967654986522911,0.9676246530972595,1484.0
